title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
100ft Robot Golf,PlayStation 4,No Goblin,"['Sports', 'Individual', 'Golf', 'Arcade']",E10+,"Sep 27, 2017",,56,Mixed or average reviews,3,12,3,5.6,Mixed or average reviews,9.0,5.0,8.0,56.0,2017-09-27
101 Ways to Die,PlayStation 4,4 Door Lemon,"['Puzzle', 'Action', 'Platformer', '2D']",T,"Mar 22, 2016",,60,Mixed or average reviews,1,5,0,5.9,Mixed or average reviews,4.0,0.0,3.0,59.0,2016-03-22
11-11: Memories Retold,PlayStation 4,Digixart Entertainment,"['Adventure', 'General', '3D', 'Third-Person']",T,"Nov  9, 2018",,77,Generally favorable reviews,21,12,0,7.7,Generally favorable reviews,37.0,14.0,9.0,77.0,2018-11-09
11-11: Memories Retold - WarChild Charity,PlayStation 4,Digixart Entertainment,"['General', 'Adventure', '3D', 'Third-Person']",T,"Nov  9, 2018",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,1.0,0.0,2018-11-09
112th Seed,PlayStation 4,Nerd Game Studio,"['Puzzle', 'Action']",E,"Jul 28, 2020",,0,No score yet,0,0,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2020-07-28
13 Sentinels: Aegis Rim,PlayStation 4,Vanillaware,"['Role-Playing', 'Action RPG', 'Adventure', 'General']",T,"Sep 22, 2020",,85,Generally favorable reviews,65,4,0,8.9,Generally favorable reviews,319.0,21.0,23.0,89.0,2020-09-22
140,PlayStation 4,Jeppe Carlsen,"['Action', 'Platformer', '2D']",E,"Sep  6, 2016",,72,Mixed or average reviews,4,1,1,0.0,No user score yet,2.0,0.0,1.0,0.0,2016-09-06
16-Bit Soccer,PlayStation 4,Sprakelsoft,"['Sports', 'Team', 'Soccer', 'Arcade']",E,"Dec 23, 2020",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2020-12-23
18 Floors,PlayStation 4,Winking Entertainment,"['Adventure', '3D', 'First-Person']",E10+,"Jul  3, 2018",,0,No score yet,0,0,0,5.9,Mixed or average reviews,2.0,4.0,1.0,59.0,2018-07-03
1971 Project Helios,PlayStation 4,Reco Technology,"['Strategy', 'Turn-Based', 'Tactics']",T,"Jun  9, 2020",,60,Mixed or average reviews,0,4,2,5.3,Mixed or average reviews,3.0,2.0,3.0,53.0,2020-06-09
1976 - Back to midway,PlayStation 4,Ivanovich Games,"['Simulation', 'Flight', 'Combat']",E10+,"Jul  9, 2021",,0,No score yet,0,1,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2021-07-09
1979 Revolution: Black Friday,PlayStation 4,iNK Stories,"['Adventure', 'General']",M,"Jul 31, 2018",,70,Mixed or average reviews,5,4,1,6.0,Mixed or average reviews,5.0,5.0,4.0,60.0,2018-07-31
198X,PlayStation 4,Hi-Bit Studios,"['Action', 'Miscellaneous', 'Platformer', 'Party / Minigame', '2D']",T,"Jul 16, 2019",,74,Mixed or average reviews,3,4,0,5.9,Mixed or average reviews,8.0,2.0,5.0,59.0,2019-07-16
1993 Shenandoah,PlayStation 4,Beep Japan,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",,"Feb 15, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-02-15
2 Game Bundle: Tony Stewart's All-American Racing + Tony Stewart's Sprint Car Racing,PlayStation 4,Monster Games Inc.,"['Miscellaneous', 'Racing', 'Simulation', 'Compilation', 'Automobile']",E,"Sep 25, 2020",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2020-09-25
20 Bunnies,PlayStation 4,"EastAsiaSoft, Nerd Games","['Action', 'Platformer', '2D']",E,"Nov 19, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-11-19
2064: Read Only Memories,PlayStation 4,MidBoss,"['General', 'Adventure', 'Point-and-Click']",M,"Jan 17, 2017",,76,Generally favorable reviews,9,5,0,3.4,Generally unfavorable reviews,175.0,11.0,370.0,34.0,2017-01-17
20XX,PlayStation 4,Batterystaple Games,"['Action', 'Platformer', '2D']",E10+,"Jul 10, 2018",,77,Generally favorable reviews,3,3,0,7.1,Mixed or average reviews,6.0,3.0,2.0,71.0,2018-07-10
2Dark,PlayStation 4,Gloomywood,"['Action Adventure', 'General']",M,"Mar 10, 2017",,54,Mixed or average reviews,3,10,6,7.1,Mixed or average reviews,15.0,4.0,6.0,71.0,2017-03-10
2MD VR Football,PlayStation 4,Truant Pixel,"['Sports', 'Team', 'Football', 'Arcade']",E,"May  8, 2018",,0,No score yet,0,1,0,6.7,Mixed or average reviews,3.0,2.0,1.0,67.0,2018-05-08
2URVIVE,PlayStation 4,Tony DE LUCIA,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",M,"Nov 16, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-11-16
35MM,PlayStation 4,Sometimes You,"['Action Adventure', 'Survival']",T,"Mar  2, 2022",,0,No score yet,0,3,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-03-02
36 Fragments of Midnight,PlayStation 4,Petite Games,"['Action', 'Platformer', '2D']",E,"Dec 19, 2017",,0,No score yet,0,0,0,4.2,Generally unfavorable reviews,1.0,9.0,9.0,42.0,2017-12-19
39 Days to Mars,PlayStation 4,It's Anecdotal,"['Puzzle', 'Action']",E,"Oct 29, 2019",,0,No score yet,0,0,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2019-10-29
3D Billiards,PlayStation 4,Z-Software,"['Sports', 'Individual', 'Billiards']",E,"Dec 19, 2017",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,3.0,0.0,2017-12-19
3D Billiards: Billards & Snooker,PlayStation 4,"PQube, Z-Software","['Sports', 'Individual', 'Billiards']",E,"Dec 19, 2017",,0,No score yet,0,0,0,2.4,Generally unfavorable reviews,1.0,0.0,4.0,24.0,2017-12-19
3D Billiards: Pool & Snooker,PlayStation 4,Z-Software,"['Sports', 'Individual', 'Billiards']",E,"Dec 18, 2017",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2017-12-18
3D Mini Golf,PlayStation 4,PQube,"['Sports', 'Individual', 'Golf', 'Arcade']",,"Mar  8, 2018",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,3.0,0.0,2018-03-08
3D MiniGolf,PlayStation 4,Z-Software,"['Sports', 'Individual', 'Golf', 'Arcade']",E,"Aug 15, 2017",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,2.0,0.0,2017-08-15
3M SPAIN FOUNDATION - STEM+VR,PlayStation 4,DNT FRAMEWORK SLU,"['Miscellaneous', 'Edutainment']",E,"Dec 18, 2019",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2019-12-18
3on3 Freestyle,PlayStation 4,Joycity,"['Sports', 'Team', 'Basketball', 'Arcade']",E,"Dec  6, 2016",,0,No score yet,0,1,0,6.2,Mixed or average reviews,15.0,11.0,11.0,62.0,2016-12-06
41 Hours,PlayStation 4,"Infomunca Recruitment, Texelworks","['Action', 'Shooter', 'First-Person', 'Arcade']",T,"Oct 19, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-10-19
428: Shibuya Scramble,PlayStation 4,Spike Chunsoft,"['Action Adventure', 'Adventure', 'General', 'Visual Novel']",T,"Sep  4, 2018",,85,Generally favorable reviews,17,2,0,8.0,Generally favorable reviews,25.0,5.0,5.0,80.0,2018-09-04
5 Star Wrestling: ReGenesis,PlayStation 4,Serious Parody,"['Sports', 'Individual', 'Combat', 'Wrestling']",T,"Jan 19, 2016",,0,No score yet,0,2,0,2.7,Generally unfavorable reviews,1.0,0.0,5.0,27.0,2016-01-19
60 Parsecs!,PlayStation 4,Robot Gentleman,"['Adventure', 'General']",T,"Dec 18, 2020",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2020-12-18
60 Seconds!,PlayStation 4,Robot Gentleman,"['Action', 'Action Adventure', 'General']",T,"Mar  6, 2020",,0,No score yet,0,2,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2020-03-06
60 Seconds! Reatomized,PlayStation 4,Robot Gentleman,"['Action', 'Action Adventure', 'General']",T,"Dec 18, 2020",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2020-12-18
6Souls,PlayStation 4,"BUG-Studio, Ratalaika Games","['Action', 'Platformer', '2D']",E10+,"Dec  3, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-12-03
7 Days of Rose,PlayStation 4,"Ratalaika Games, Cross Game Studio","['Adventure', 'Visual Novel']",T,"Nov  4, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-11-04
7 Days to Die,PlayStation 4,"Iron Galaxy Studios, The Fun Pimps","['Action', 'Action Adventure', 'Shooter', 'Survival', 'Sandbox', 'First-Person', 'Arcade']",M,"Jun 28, 2016",,45,Generally unfavorable reviews,1,6,9,5.9,Mixed or average reviews,119.0,62.0,93.0,59.0,2016-06-28
7th Sector,PlayStation 4,Sergey Noskov,"['Action Adventure', 'Adventure', 'Puzzle', 'Action', 'General', 'Linear']",T,"Feb  5, 2020",,76,Generally favorable reviews,2,3,0,6.6,Mixed or average reviews,2.0,2.0,1.0,66.0,2020-02-05
8 to Glory: The Official Game of the PBR,PlayStation 4,Three Gates,"['Sports', 'Individual', 'Other']",E,"Jul 31, 2018",,0,No score yet,0,1,2,0.0,No user score yet,3.0,0.0,0.0,0.0,2018-07-31
8-Bit Adventure Anthology: Volume 1,PlayStation 4,Abstraction Games,"['Miscellaneous', 'Compilation']",E10+,"Oct 31, 2017",,71,Mixed or average reviews,2,5,0,0.0,No user score yet,2.0,5.0,0.0,0.0,2017-10-31
8-Bit Armies,PlayStation 4,"Petroglyph, Soedesco","['Strategy', 'Real-Time', 'Command']",E10+,"Sep 21, 2018",,70,Mixed or average reviews,2,4,0,0.0,No user score yet,1.0,1.0,1.0,0.0,2018-09-21
8-Bit Farm,PlayStation 4,Kairosoft Co. Ltd,"['Strategy', 'Management', 'Business / Tycoon']",E,"Jun 10, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-06-10
8-Bit Hordes,PlayStation 4,Petroglyph,"['Strategy', 'Real-Time', 'Command']",,"Feb  1, 2019",,63,Mixed or average reviews,2,9,1,3.0,Generally unfavorable reviews,2.0,0.0,5.0,30.0,2019-02-01
8-Bit Invaders!,PlayStation 4,Soedesco,"['Strategy', 'Real-Time', 'General', 'Command']",E10+,"Feb 26, 2019",,0,No score yet,1,1,0,0.0,No user score yet,3.0,0.0,0.0,0.0,2019-02-26
88 Heroes,PlayStation 4,"Rising Star Games, Bitmap Bureau","['Action', 'Platformer', '2D']",E10+,"Mar 24, 2017",,72,Mixed or average reviews,4,4,0,5.8,Mixed or average reviews,2.0,1.0,2.0,58.0,2017-03-24
88 Heroes: H8 Mode Activate!,PlayStation 4,Bitmap Bureau,"['Action', 'Platformer', '2D']",E10+,"Oct 20, 2017",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2017-10-20
88 Heroes: RSG Champions,PlayStation 4,Bitmap Bureau,"['Action', 'Platformer', '2D']",E10+,"Aug  8, 2017",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2017-08-08
890B,PlayStation 4,Nerd Games,"['Adventure', '3D', 'Third-Person']",M,"Nov 10, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-11-10
8DAYS,PlayStation 4,Santa Clara Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",M,"Feb  7, 2017",,61,Mixed or average reviews,2,2,2,5.9,Mixed or average reviews,4.0,1.0,2.0,59.0,2017-02-07
8Doors: Arum's Afterlife Adventure,PlayStation 4,Rootless Studio,"['Action', 'Platformer', 'Metroidvania']",E10+,"Apr 14, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-04-14
9 Clues 2: The Ward,PlayStation 4,Artifex Mundi,"['Puzzle', 'Hidden Object']",T,"Jan  6, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-01-06
9 Clues: The Secret of Serpent Creek,PlayStation 4,Artifex Mundi,"['Puzzle', 'Hidden Object']",T,"Apr  1, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-04-01
9 Monkeys of Shaolin,PlayStation 4,Sobaka,"['Action', ""Beat-'Em-Up"", '3D']",T,"Oct 16, 2020",,71,Mixed or average reviews,7,7,0,6.9,Mixed or average reviews,9.0,5.0,3.0,69.0,2020-10-16
9-Ball Pocket,PlayStation 4,Super PowerUp Games,"['Sports', 'Individual', 'Billiards']",,"Dec 25, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-12-25
911 Operator,PlayStation 4,"PlayWay, PlayWay plc","['Simulation', 'Virtual', 'Career']",T,"Nov 28, 2017",,0,No score yet,0,0,0,4.0,Generally unfavorable reviews,0.0,2.0,3.0,40.0,2017-11-28
99 Seconds,PlayStation 4,Super PowerUp Games,"['Action', 'General']",,"Jan 20, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-01-20
99Vidas,PlayStation 4,QUByte Interactive,"['Action', ""Beat-'Em-Up"", '2D']",T,"Jul 18, 2017",,61,Mixed or average reviews,1,9,1,6.4,Mixed or average reviews,18.0,14.0,9.0,64.0,2017-07-18
9th Dawn III: Shadow of Erthil,PlayStation 4,Valorware,"['Role-Playing', 'Action RPG']",T,"Oct  6, 2020",,0,No score yet,1,1,0,0.0,No user score yet,2.0,0.0,1.0,0.0,2020-10-06
A Bastard's Tale,PlayStation 4,No Pest Productions,"['Action', ""Beat-'Em-Up"", 'Fighting', '2D']",T,"Oct  4, 2016",,48,Generally unfavorable reviews,0,5,2,5.5,Mixed or average reviews,2.0,1.0,3.0,55.0,2016-10-04
A Boy and His Blob,PlayStation 4,Abstraction Games,"['Action', 'Platformer', '2D']",E,"Jan 19, 2016",,66,Mixed or average reviews,2,2,0,5.8,Mixed or average reviews,3.0,6.0,2.0,58.0,2016-01-19
A Chair in a Room: Greenwater,PlayStation 4,Wolf & Wood Interactive,"['Adventure', '3D', 'First-Person']",,"Apr 23, 2019",,0,No score yet,0,0,0,4.8,Generally unfavorable reviews,2.0,0.0,3.0,48.0,2019-04-23
A Day Without Me,PlayStation 4,ChiliDog Interactive,"['Adventure', 'General']",T,"Sep 10, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,1.0,0.0,2021-09-10
A Fisherman's Tale,PlayStation 4,Innerspace VR,"['Adventure', 'General']",,"Jan 22, 2019",,70,Mixed or average reviews,4,10,0,5.7,Mixed or average reviews,6.0,3.0,4.0,57.0,2019-01-22
A Fold Apart,PlayStation 4,Lightning Rod Games,"['Adventure', 'General']",E,"May 19, 2020",,74,Mixed or average reviews,2,3,0,0.0,No user score yet,2.0,3.0,0.0,0.0,2020-05-19
A Frog's Job,PlayStation 4,9Ratones,"['Action', 'Platformer', '2D']",E,"Oct  7, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-10-07
A Fungus In My Garden,PlayStation 4,Broken Compass Studio,"['Action', 'Shooter', 'First-Person', 'Arcade']",T,"Apr 28, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-04-28
A Gummy's Life,PlayStation 4,EP Games,"['Miscellaneous', 'Party / Minigame']",E10+,"Sep 24, 2021",,0,No score yet,0,1,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2021-09-24
A Hat in Time,PlayStation 4,Gears for Breakfast,"['Action', 'Platformer', '3D']",T,"Dec  5, 2017",,79,Generally favorable reviews,14,3,0,8.2,Generally favorable reviews,91.0,13.0,11.0,82.0,2017-12-05
A Hat in Time: Nyakuza Metro,PlayStation 4,Gears for Breakfast,"['Action', 'Platformer', '3D']",T,"Mar 31, 2021",,0,No score yet,0,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2021-03-31
A Hat in Time: Seal the Deal,PlayStation 4,Gears for Breakfast,"['Action', 'Platformer', '3D']",T,"Mar 31, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,2.0,0.0,0.0,2021-03-31
A Healer Only Lives Twice,PlayStation 4,Mediascape,"['Role-Playing', 'Strategy', 'Real-Time', 'Japanese-Style', 'Tactics']",E10+,"Jul 25, 2017",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,1.0,0.0,2017-07-25
A Hero and a Garden,PlayStation 4,"Ratalaika Games, npckc","['Adventure', 'Visual Novel']",E,"Aug 28, 2020",,0,No score yet,0,2,0,0.0,No user score yet,0.0,2.0,0.0,0.0,2020-08-28
A Hole New World,PlayStation 4,MadGearGames,"['Action', 'Platformer', '2D']",T,"Sep  5, 2017",,0,No score yet,0,1,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2017-09-05
A Juggler's Tale,PlayStation 4,Kaleidoscube,"['Action', 'Adventure', 'General', 'Platformer', '2D']",E10+,"Sep 29, 2021",,0,No score yet,1,0,0,0.0,No user score yet,1.0,1.0,0.0,0.0,2021-09-29
A King's Tale: Final Fantasy XV,PlayStation 4,Square Enix,"['Action', ""Beat-'Em-Up"", '2D']",E10+,"Nov 29, 2016",,65,Mixed or average reviews,0,4,1,8.7,Generally favorable reviews,190.0,32.0,17.0,87.0,2016-11-29
A Knight's Quest,PlayStation 4,Sky9,"['Action Adventure', 'General', 'Open-World']",T,"Oct 10, 2019",,63,Mixed or average reviews,1,4,1,2.8,Generally unfavorable reviews,0.0,2.0,4.0,28.0,2019-10-10
A Little Lily Princess,PlayStation 4,"Hanako Games, Ratalaika Games","['Adventure', 'Visual Novel']",T,"May 28, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-05-28
A Matter of Principle,PlayStation 4,Volkov Konstantin Sergeevich,"['Adventure', 'Visual Novel']",,"Jan 19, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-01-19
A Memoir Blue,PlayStation 4,Cloisters,"['Adventure', 'General', '3D', 'Third-Person']",E,"Mar 24, 2022",,66,Mixed or average reviews,1,3,1,0.0,No user score yet,1.0,0.0,2.0,0.0,2022-03-24
A Monster's Expedition (Through Puzzling Exhibitions),PlayStation 4,Draknek,"['Puzzle', 'Action']",E,"May 19, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-05-19
A Musical Story,PlayStation 4,Glee-Cheese Studio,"['Action', 'Rhythm', 'Music']",M,"Mar  2, 2022",,0,No score yet,1,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-03-02
A Pixel Story,PlayStation 4,Lamplight Studios,"['Action', 'Platformer', '2D']",E10+,"Feb 24, 2017",,67,Mixed or average reviews,0,4,0,0.0,No user score yet,0.0,4.0,0.0,0.0,2017-02-24
A Place for the Unwilling,PlayStation 4,AlPixel Games,"['Adventure', 'General']",M,"Feb 23, 2022",,0,No score yet,0,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-02-23
A Plague Tale: Innocence,PlayStation 4,Asobo Studio,"['Action Adventure', 'General', 'Linear']",M,"May 14, 2019",,81,Generally favorable reviews,52,9,0,8.5,Generally favorable reviews,0.0,165.0,83.0,85.0,2019-05-14
A Pretty Odd Bunny,PlayStation 4,2Awesome Studio,"['Action', 'Platformer', '2D']",T,"Nov  9, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-11-09
A Room Where Art Conceals,PlayStation 4,"Shanghai Oriental Pearl Culture Development CO., LTD.","['Adventure', '3D', 'First-Person']",E,"Apr  8, 2020",,0,No score yet,0,0,0,0.0,No user score yet,0.0,1.0,1.0,0.0,2020-04-08
A Short Hike,PlayStation 4,Whippoorwill Limited,"['Adventure', 'General']",E,"Nov 16, 2021",,83,Generally favorable reviews,6,0,0,7.7,Generally favorable reviews,17.0,2.0,3.0,77.0,2021-11-16
A Sketchbook About Her Sun,PlayStation 4,Fantastico Studio,"['Adventure', 'Visual Novel']",E10+,"Apr 15, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-04-15
A Space For The Unbound,PlayStation 4,Mojiken Studio,"['Adventure', 'General']",T,"Jan 19, 2023",,0,No score yet,0,0,0,0.0,No user score yet,3.0,0.0,0.0,0.0,2023-01-19
A Street Cat's Tale,PlayStation 4,feemodev,"['Role-Playing', 'General']",E10+,"Apr 28, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-04-28
A Summer with the Shiba Inu,PlayStation 4,Quill Game Studios,"['Adventure', 'Visual Novel']",T,"Jun 24, 2020",,0,No score yet,1,1,0,0.0,No user score yet,1.0,1.0,0.0,0.0,2020-06-24
A Tale of Paper,PlayStation 4,"SIE Spain, Open House Games","['Action', 'Action Adventure', 'General', 'Platformer', 'Linear', '2D']",E,"Oct 21, 2020",,60,Mixed or average reviews,1,5,0,6.2,Mixed or average reviews,3.0,5.0,1.0,62.0,2020-10-21
A Way Out,PlayStation 4,Hazelight,"['Action Adventure', 'General', 'Linear']",M,"Mar 23, 2018",,78,Generally favorable reviews,47,14,1,7.9,Generally favorable reviews,693.0,178.0,96.0,79.0,2018-03-23
A Winter's Daydream,PlayStation 4,ebi-hime,"['Action', 'Adventure', 'General', 'Visual Novel']",E,"Oct  8, 2019",,0,No score yet,0,0,0,4.4,Generally unfavorable reviews,3.0,1.0,4.0,44.0,2019-10-08
A YEAR OF SPRINGS,PlayStation 4,"Ratalaika Games, npckc","['Adventure', 'Visual Novel']",T,"Dec 10, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-12-10
A-Tech Cybernetic VR,PlayStation 4,XREAL Games Ltd.,"['General', 'Action', 'Shooter', 'First-Person', 'Arcade']",M,"Mar 27, 2020",,0,No score yet,0,0,1,0.0,No user score yet,0.0,0.0,1.0,0.0,2020-03-27
A-Train Express,PlayStation 4,Artdink,"['Simulation', 'Vehicle', 'Train']",E,"May 22, 2019",,0,No score yet,0,1,0,0.0,No user score yet,0.0,0.0,1.0,0.0,2019-05-22
Aaero,PlayStation 4,Mad Fellows Ltd,"['Action', 'Shooter', 'Rail']",E10+,"Apr 11, 2017",,77,Generally favorable reviews,5,3,0,5.1,Mixed or average reviews,3.0,2.0,4.0,51.0,2017-04-11
Aaru's Awakening,PlayStation 4,Lumenox ehf,"['Action', 'Platformer', '2D']",E,"Apr  7, 2015",,59,Mixed or average reviews,0,5,1,2.0,Generally unfavorable reviews,13.0,16.0,108.0,20.0,2015-04-07
Abo Khashem,PlayStation 4,Moving Dimensions,"['Strategy', 'Action Adventure', 'General', 'Open-World']",T,"Feb 23, 2018",,0,No score yet,0,0,0,6.9,Mixed or average reviews,30.0,3.0,13.0,69.0,2018-02-23
Aborigenus,PlayStation 4,Xitilon,"['Action', 'Platformer', '2D']",E,"Jan 18, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-01-18
Absolute Drift: Zen Edition,PlayStation 4,Flippfly,"['Racing', 'Arcade', 'Automobile']",E,"Aug 23, 2016",,78,Generally favorable reviews,3,1,0,6.3,Mixed or average reviews,7.0,4.0,4.0,63.0,2016-08-23
Absolute Tactics: Daughters of Mercy,PlayStation 4,Akupara Games,"['Strategy', 'Turn-Based', 'Tactics']",T,"Nov 17, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-11-17
Absolver,PlayStation 4,Sloclap,"['Role-Playing', 'Action RPG']",T,"Aug 29, 2017",,69,Mixed or average reviews,7,17,1,5.5,Mixed or average reviews,32.0,24.0,34.0,55.0,2017-08-29
Abyss Odyssey: Extended Dream Edition,PlayStation 4,ACE Team,"['Action Adventure', 'Linear']",T,"Jul 28, 2015",,65,Mixed or average reviews,3,11,2,5.8,Mixed or average reviews,4.0,4.0,3.0,58.0,2015-07-28
Abyss: The Wraiths of Eden,PlayStation 4,Artifex Mundi,"['Puzzle', 'Hidden Object']",T,"Oct 20, 2017",,0,No score yet,0,3,0,0.0,No user score yet,0.0,1.0,1.0,0.0,2017-10-20
ABZU,PlayStation 4,Giant Squid,"['Fantasy', 'Action Adventure', 'Adventure', 'General', '3D', 'Third-Person']",E,"Aug  2, 2016",,78,Generally favorable reviews,53,16,3,7.8,Generally favorable reviews,337.0,135.0,45.0,78.0,2016-08-02
ACA NeoGeo - Garou: Mark of the Wolves,PlayStation 4,,"['Action', 'Fighting', '2D']",T,"Mar 28, 2019",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2019-03-28
